fechaCreacion;Ciudad 1era instancia;Juzgado de origen;Autoridad de conocimiento;Tipo o tema del proceso;Instancia actual del proceso
04/12/2020;Bogotá;15;2;1;2
11/08/2023;Bogotá;36;1;1;1
28/09/2022;Bogotá;18;2;1;2
22/09/2020;Bogotá;14;2;1;2
27/01/2021;Bogotá;33;1;1;1
24/05/2021;Bogotá;21;2;1;2
13/05/2021;Bogotá;2;1;1;1
28/09/2020;Bogotá;15;2;1;2
10/10/2020;Bogotá;19;2;1;2
20/08/2020;Bogotá;2;2;1;2
26/11/2020;Bogotá;31;2;1;2
25/11/2020;Bogotá;19;1;1;1
05/12/2019;Bogotá;32;2;1;2
24/02/2020;Bogotá;37;2;1;2
20/10/2020;Bogotá;4;2;1;2
01/03/2020;Bogotá;18;2;1;2
10/03/2021;Bogotá;1;2;1;2
02/05/2021;Bogotá;32;2;1;2
20/12/2021;Bogotá;7;1;1;1
16/12/2019;Bogotá;3;2;1;2
09/08/2021;Bogotá;38;2;1;2
25/08/2023;Bogotá;46;1;1;1
16/12/2019;Bogotá;23;2;1;2
30/12/2019;Bogotá;9;2;1;2
19/12/2022;Bogotá;1;1;1;1
14/04/2020;Bogotá;22;2;1;2
16/02/2020;Bogotá;5;2;1;2
05/12/2019;Bogotá;21;2;1;2
29/10/2019;Bogotá;8;2;1;2
06/11/2019;Bogotá;4;2;1;2
18/02/2021;Bogotá;30;2;1;2
30/11/2022;Bogotá;15;1;1;1
16/12/2019;Bogotá;3;2;1;2
05/06/2023;Bogotá;11;1;1;1
03/02/2021;Bogotá;16;1;1;1
16/12/2019;Bogotá;38;2;1;2
18/05/2023;Bogotá;8;1;1;1
22/02/2022;Bogotá;16;2;1;2
30/12/2019;Bogotá;8;2;1;2
30/03/2022;Bogotá;27;1;1;2
13/12/2022;Bogotá;36;1;1;1
28/09/2021;Bogotá;7;2;1;2
18/11/2019;Bogotá;12;2;1;2
01/12/2022;Bogotá;14;1;1;1
30/05/2023;Bogotá;20;1;1;1
21/05/2021;Bogotá;30;1;1;1
05/12/2019;Bogotá;1;2;1;2
19/11/2021;Bogotá;15;2;1;2
27/10/2021;Bogotá;29;2;1;2
05/06/2021;Bogotá;12;2;1;2
09/02/2020;Bogotá;2;2;1;2
19/11/2019;Bogotá;27;2;1;2
13/01/2022;Bogotá;15;2;1;2
21/09/2021;Bogotá;23;2;1;2
06/08/2021;Bogotá;34;2;1;2
14/06/2023;Bogotá;37;1;1;1
07/10/2020;Bogotá;8;2;1;2
05/04/2023;Bogotá;13;1;1;1
30/12/2019;Bogotá;20;2;1;2
01/02/2020;Bogotá;22;2;1;2
06/12/2019;Bogotá;1;2;1;2
25/01/2023;Bogotá;13;1;1;1
13/06/2022;Bogotá;2;1;1;1
11/01/2022;Bogotá;24;1;1;1
01/03/2023;Bogotá;14;1;1;1
11/06/2021;Bogotá;37;2;1;2
17/10/2019;Bogotá;19;2;1;2
21/07/2022;Bogotá;3;2;1;2
26/12/2023;Bogotá;3;1;1;1
08/06/2022;Bogotá;8;2;1;2
29/10/2019;Bogotá;12;2;1;2
09/02/2020;Bogotá;39;2;1;2
22/12/2020;Bogotá;23;2;1;2
07/09/2023;Bogotá;17;1;1;1
30/10/2019;Bogotá;4;2;1;2
06/04/2020;Bogotá;12;2;1;2
26/06/2023;Bogotá;32;1;4;1
16/03/2023;Bogotá;26;1;1;1
24/05/2022;Bogotá;26;2;1;2
10/02/2022;Bogotá;3;2;1;2
27/10/2020;Bogotá;37;1;1;1
16/12/2019;Bogotá;10;2;1;2
19/11/2019;Bogotá;21;2;1;2
07/02/2022;Bogotá;1;1;1;2
12/05/2022;Bogotá;24;1;1;1
30/12/2019;Bogotá;19;2;1;2
10/05/2022;Bogotá;35;1;1;2
06/04/2020;Bogotá;26;2;1;2
05/10/2020;Bogotá;39;1;1;1
30/10/2020;Bogotá;40;1;1;1
19/11/2019;Bogotá;28;2;1;2
17/02/2022;Bogotá;29;2;1;2
01/02/2020;Bogotá;29;2;1;2
06/04/2020;Bogotá;2;2;1;2
02/12/2019;Bogotá;30;2;1;2
25/06/2023;Bogotá;5;1;1;1
30/12/2019;Bogotá;36;2;1;2
01/11/2019;Bogotá;31;2;1;2
29/10/2019;Bogotá;26;2;1;2
13/01/2023;Bogotá;13;1;1;1
16/12/2019;Bogotá;3;2;1;2
01/04/2022;Bogotá;17;2;1;2
25/01/2023;Bogotá;15;2;1;2
21/01/2022;Bogotá;34;2;1;2
21/10/2021;Bogotá;5;2;1;2
05/04/2020;Bogotá;23;2;1;2
15/07/2021;Bogotá;14;1;1;1
12/03/2021;Bogotá;30;2;1;2
22/09/2020;Bogotá;22;1;1;1
19/11/2019;Bogotá;35;2;1;2
30/04/2021;Bogotá;1;2;1;2
03/12/2019;Bogotá;1;2;1;2
28/07/2022;Bogotá;39;1;1;1
27/06/2023;Bogotá;4;1;1;1
24/01/2023;Bogotá;41;1;1;1
28/07/2021;Bogotá;10;1;1;1
13/09/2023;Bogotá;47;1;1;1
05/12/2022;Bogotá;35;1;1;1
13/05/2022;Bogotá;24;2;1;2
29/09/2022;Bogotá;2;1;1;1
02/12/2019;Bogotá;38;2;1;2
05/12/2019;Bogotá;3;2;1;2
09/10/2023;Bogotá;10;1;3;1
18/04/2021;Bogotá;37;1;1;1
27/08/2020;Bogotá;32;2;1;2
30/12/2019;Bogotá;26;2;1;2
22/09/2022;Bogotá;22;1;1;1
15/07/2021;Bogotá;27;2;1;2
29/10/2019;Bogotá;19;2;1;2
13/01/2021;Bogotá;27;1;1;1
21/10/2019;Bogotá;7;2;1;2
05/10/2022;Bogotá;37;1;1;1
05/06/2023;Bogotá;11;1;1;1
27/07/2022;Bogotá;38;1;1;2
31/05/2023;Bogotá;36;1;1;1
09/02/2021;Bogotá;12;2;1;2
29/07/2022;Bogotá;23;1;1;1
29/10/2019;Bogotá;10;1;1;1
19/02/2021;Bogotá;16;2;1;2
03/09/2021;Bogotá;30;1;1;1
05/12/2019;Bogotá;4;2;1;2
11/04/2022;Bogotá;26;1;1;1
05/10/2020;Bogotá;28;2;1;2
18/10/2019;Bogotá;26;2;1;2
13/01/2021;Bogotá;9;2;1;2
05/06/2021;Bogotá;19;1;1;1
28/02/2023;Bogotá;21;1;1;1
01/02/2020;Bogotá;32;2;1;2
01/12/2020;Bogotá;24;1;1;1
02/12/2019;Bogotá;32;2;1;2
03/12/2020;Bogotá;23;2;1;2
20/01/2022;Bogotá;7;2;1;2
27/06/2023;Bogotá;17;1;1;1
16/06/2021;Bogotá;4;2;1;2
15/11/2019;Bogotá;24;2;1;2
13/05/2021;Bogotá;26;2;1;2
15/11/2023;Bogotá;26;1;4;1
08/11/2022;Bogotá;1;1;1;1
21/07/2021;Bogotá;3;2;1;2
08/11/2021;Bogotá;18;2;1;2
16/09/2021;Bogotá;15;2;1;2
02/12/2019;Bogotá;19;2;1;2
08/09/2021;Bogotá;18;1;1;1
06/04/2020;Bogotá;1;2;1;2
28/08/2023;Bogotá;24;1;1;1
27/08/2020;Bogotá;32;2;1;2
06/12/2021;Bogotá;37;1;1;1
02/10/2020;Bogotá;1;2;1;2
10/03/2021;Bogotá;1;2;1;2
14/10/2020;Bogotá;32;2;1;2
30/06/2021;Bogotá;35;2;1;2
30/03/2021;Bogotá;5;2;1;2
01/02/2021;Bogotá;23;2;1;2
11/08/2023;Bogotá;42;1;1;1
01/02/2020;Bogotá;37;2;1;2
30/12/2019;Bogotá;37;2;1;2
08/06/2023;Bogotá;32;1;1;1
20/09/2022;Bogotá;31;1;1;1
06/02/2024;Bogotá;16;1;1;1
22/03/2022;Bogotá;1;1;1;1
13/04/2020;Bogotá;5;1;1;1
26/09/2022;Bogotá;32;1;1;1
14/02/2021;Bogotá;26;2;1;2
14/12/2020;Bogotá;29;2;1;2
02/12/2019;Bogotá;3;2;1;2
12/06/2022;Bogotá;27;1;1;1
16/09/2022;Bogotá;27;1;1;1
16/12/2019;Bogotá;8;2;1;2
08/06/2023;Bogotá;9;1;5;1
26/07/2022;Bogotá;22;1;1;1
30/10/2019;Bogotá;35;2;1;2
16/02/2023;Bogotá;8;1;1;1
13/12/2023;Bogotá;13;1;1;1
27/10/2020;Bogotá;18;2;1;2
12/06/2021;Bogotá;2;2;1;2
02/12/2019;Bogotá;30;2;1;2
30/12/2019;Bogotá;28;2;1;2
01/02/2021;Bogotá;23;2;1;2
04/05/2020;Bogotá;29;2;1;2
16/12/2019;Bogotá;13;2;1;2
21/02/2022;Bogotá;32;2;1;2
30/07/2021;Bogotá;2;2;1;2
17/10/2019;Bogotá;8;2;1;2
13/07/2022;Bogotá;18;2;1;2
14/03/2022;Bogotá;30;1;1;1
31/05/2021;Bogotá;2;1;1;1
18/11/2019;Bogotá;37;2;1;2
01/07/2022;Bogotá;8;1;1;2
10/03/2020;Bogotá;31;2;1;2
11/04/2022;Bogotá;37;2;1;2
10/07/2022;Bogotá;38;1;1;1
28/12/2020;Bogotá;39;2;1;2
15/07/2021;Bogotá;27;2;1;2
21/09/2022;Bogotá;7;1;1;1
07/09/2023;Bogotá;36;1;4;1
24/11/2023;Bogotá;23;1;1;1
13/09/2023;Bogotá;40;1;1;1
25/01/2024;Bogotá;39;1;1;1
16/12/2019;Bogotá;30;2;1;2
29/03/2022;Bogotá;29;2;1;2
30/12/2019;Bogotá;35;2;1;2
01/03/2021;Bogotá;20;2;1;2
19/04/2021;Bogotá;2;1;1;1
18/11/2019;Bogotá;18;2;1;2
24/09/2021;Bogotá;1;1;1;2
10/11/2021;Bogotá;15;2;1;2
01/02/2020;Bogotá;5;2;1;2
24/03/2022;Bogotá;9;2;1;2
04/11/2019;Bogotá;24;2;1;2
07/07/2023;Bogotá;16;1;4;1
