fechaCreacion;Ciudad 1era instancia;Juzgado de origen;Autoridad de conocimiento;Tipo o tema del proceso;Instancia actual del proceso
4/12/2020 11:10;Bogotá - Bogotá;15;2;1;2
11/08/2023 16:43;Bogotá - Bogotá;36;1;1;1
28/09/2022 17:22;Bogotá - Bogotá;18;2;1;2
22/09/2020 10:23;Bogotá - Bogotá;14;2;1;2
27/01/2021 9:52;Bogotá - Bogotá;33;1;1;1
24/05/2021 16:24;Bogotá - Bogotá;21;2;1;2
13/05/2021 12:31;Bogotá - Bogotá;2;1;1;1
28/09/2020 15:27;Bogotá - Bogotá;15;2;1;2
10/10/2020 10:14;Bogotá - Bogotá;19;2;1;2
20/08/2020 9:20;Bogotá - Bogotá;2;2;1;2
26/11/2020 16:23;Bogotá - Bogotá;31;2;1;2
25/11/2020 17:43;Bogotá - Bogotá;19;1;1;1
5/12/2019 11:38;Bogotá - Bogotá;32;2;1;2
24/02/2020 9:20;Bogotá - Bogotá;37;2;1;2
20/10/2020 8:27;Bogotá - Bogotá;4;2;1;2
1/03/2020 18:50;Bogotá - Bogotá;18;2;1;2
10/03/2021 9:20;Bogotá - Bogotá;1;2;1;2
2/05/2021 21:01;Bogotá - Bogotá;32;2;1;2
20/12/2021 16:42;Bogotá - Bogotá;7;1;1;1
16/12/2019 16:45;Bogotá - Bogotá;3;2;1;2
9/08/2021 7:45;Bogotá - Bogotá;38;2;1;2
25/08/2023 8:46;Bogotá - Bogotá;46;1;1;1
16/12/2019 16:07;Bogotá - Bogotá;23;2;1;2
30/12/2019 9:02;Bogotá - Bogotá;9;2;1;2
19/12/2022 11:44;Bogotá - Bogotá;1;1;1;1
14/04/2020 11:06;Bogotá - Bogotá;22;2;1;2
16/02/2020 19:40;Bogotá - Bogotá;5;2;1;2
5/12/2019 14:29;Bogotá - Bogotá;21;2;1;2
29/10/2019 15:29;Bogotá - Bogotá;8;2;1;2
6/11/2019 11:41;Bogotá - Bogotá;4;2;1;2
18/02/2021 13:21;Bogotá - Bogotá;30;2;1;2
30/11/2022 7:26;Bogotá - Bogotá;15;1;1;1
16/12/2019 17:11;Bogotá - Bogotá;3;2;1;2
5/06/2023 10:17;Bogotá - Bogotá;11;1;1;1
3/02/2021 19:45;Bogotá - Bogotá;16;1;1;1
16/12/2019 16:14;Bogotá - Bogotá;38;2;1;2
18/05/2023 13:49;Bogotá - Bogotá;8;1;1;1
22/02/2022 14:48;Bogotá - Bogotá;16;2;1;2
30/12/2019 8:52;Bogotá - Bogotá;8;2;1;2
30/03/2022 7:57;Bogotá - Bogotá;27;1;1;2
13/12/2022 8:29;Bogotá - Bogotá;36;1;1;1
28/09/2021 14:38;Bogotá - Bogotá;7;2;1;2
18/11/2019 13:30;Bogotá - Bogotá;12;2;1;2
