"","","","","","","","","","",""
"","","","","","","","","","",""
"Etiquetas de fila","Cuenta de BikeBuyerText","Suma de AvgMonthSpend","","","","","","","",""
"NO","8228"," $  417,143 ","","","","","","","",""
"YES","10127"," $  533,044 ","","","","","","","",""
"Total general","18355"," $  950,187 ","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Etiquetas de fila","Cuenta de BikeBuyerText","","","","","","","","Etiquetas de fila","Suma de AvgMonthSpend"
"NO","8228","","","","","","","","NO"," $  417,144 "
"23 - 26","669","","","","","","","","23 - 26"," $  33,167 "
"F","336","","","","","","","","F"," $  16,700 "
"M","333","","","","","","","","M"," $  16,467 "
"27 - 59","6912","","","","","","","","27 - 59"," $  351,343 "
"F","3914","","","","","","","","F"," $  195,962 "
"M","2998","","","","","","","","M"," $  155,381 "
"60 - 94","647","","","","","","","","60 - 94"," $  32,633 "
"F","346","","","","","","","","F"," $  17,507 "
"M","301","","","","","","","","M"," $  15,126 "
"YES","10127","","","","","","","","YES"," $  533,044 "
"23 - 26","430","","","","","","","","23 - 26"," $  21,818 "
"F","174","","","","","","","","F"," $  8,826 "
"M","256","","","","","","","","M"," $  12,992 "
"27 - 59","8807","","","","","","","","27 - 59"," $  465,097 "
"F","3878","","","","","","","","F"," $  198,850 "
"M","4929","","","","","","","","M"," $  266,248 "
"60 - 94","890","","","","","","","","60 - 94"," $  46,128 "
"F","422","","","","","","","","F"," $  21,881 "
"M","468","","","","","","","","M"," $  24,247 "
"Total general","18355","","","","","","","","Total general"," $  950,187 "
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Etiquetas de fila","Cuenta de BikeBuyerText","","","","","","","","Etiquetas de fila","Suma de AvgMonthSpend"
"NO","8228","","","","","","","","NO"," $  417,144 "
"23 - 26","669","","","","","","","","23 - 26"," $  33,167 "
"27 - 59","6912","","","","","","","","27 - 59"," $  351,343 "
"F","3914","","","","","","","","F"," $  195,962 "
"M","1405","","","","","","","","M"," $  68,642 "
"S","2509","","","","","","","","S"," $  127,320 "
"M","2998","","","","","","","","M"," $  155,381 "
"M","1560","","","","","","","","M"," $  80,194 "
"S","1438","","","","","","","","S"," $  75,187 "
"60 - 94","647","","","","","","","","60 - 94"," $  32,633 "
"YES","10127","","","","","","","","YES"," $  533,044 "
"23 - 26","430","","","","","","","","23 - 26"," $  21,818 "
"27 - 59","8807","","","","","","","","27 - 59"," $  465,097 "
"F","3878","","","","","","","","F"," $  198,850 "
"M","2636","","","","","","","","M"," $  134,462 "
"S","1242","","","","","","","","S"," $  64,388 "
"M","4929","","","","","","","","M"," $  266,248 "
"M","2926","","","","","","","","M"," $  157,891 "
"S","2003","","","","","","","","S"," $  108,356 "
"60 - 94","890","","","","","","","","60 - 94"," $  46,128 "
"Total general","18355","","","","","","","","Total general"," $  950,187 "
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"Etiquetas de fila","Cuenta de BikeBuyerText","","","","","","","","Etiquetas de fila","Suma de AvgMonthSpend"
"NO","8228","","","","","","","","NO"," $  417,144 "
"23 - 26","669","","","","","","","","23 - 26"," $  33,167 "
"27 - 59","6912","","","","","","","","27 - 59"," $  351,343 "
"F","3914","","","","","","","","F"," $  195,962 "
"0","2719","","","","","","","","0"," $  137,580 "
"1","437","","","","","","","","1"," $  21,392 "
"2","755","","","","","","","","2"," $  36,838 "
"3","3","","","","","","","","3"," $  152 "
"M","2998","","","","","","","","M"," $  155,381 "
"0","1739","","","","","","","","0"," $  90,219 "
"1","419","","","","","","","","1"," $  21,471 "
"2","836","","","","","","","","2"," $  43,498 "
"3","4","","","","","","","","3"," $  193 "
"60 - 94","647","","","","","","","","60 - 94"," $  32,633 "
"YES","10127","","","","","","","","YES"," $  533,044 "
"23 - 26","430","","","","","","","","23 - 26"," $  21,818 "
"27 - 59","8807","","","","","","","","27 - 59"," $  465,097 "
"F","3878","","","","","","","","F"," $  198,850 "
"0","1476","","","","","","","","0"," $  76,136 "
"1","690","","","","","","","","1"," $  35,100 "
"2","1709","","","","","","","","2"," $  87,461 "
"3","3","","","","","","","","3"," $  152 "
"M","4929","","","","","","","","M"," $  266,248 "
"0","2211","","","","","","","","0"," $  119,097 "
"1","791","","","","","","","","1"," $  42,109 "
"2","1924","","","","","","","","2"," $  104,890 "
"3","3","","","","","","","","3"," $  152 "
"60 - 94","890","","","","","","","","60 - 94"," $  46,128 "
"Total general","18355","","","","","","","","Total general"," $  950,187 "
