perfil;red_social;tweets_post_totales;tweets_post_diarios;seguidores_fans_totales;seguidores_fans_diarios;fecha
Cultura de Castilla y León;2;3017;5;12853;1;1/03/2024
Museos de Castilla y León;2;666;0;26736;10;2/03/2024
Centro de Emergencias Castilla y León 112;2;426;12;81178;22;2/03/2024
Tierra de Sabor;2;9830;0;29455;4;2/03/2024
Castilla y León Digital;2;215;3;6582;1;2/03/2024
Patrimonio Castilla y León;2;2142;0;2901;0;2/03/2024
Educación;2;218;0;59724;8;2/03/2024
Naturaleza Castilla y León;2;8644;2;16851;2;2/03/2024
Atención al ciudadano 012;2;1452;0;12475;3;2/03/2024
Energía EREN;2;1201;0;3355;0;2/03/2024
Empresas JCYL - ICE;2;26;0;3233;2;2/03/2024
Salud+JCYL;2;1792;3;43511;9;3/03/2024
ITACYL Instituto Técnico Agrario;2;516;1;2782;0;3/03/2024
Deporte en Castilla y León;2;4007;1;1034;1;3/03/2024
Naturaleza Castilla y León;2;8644;0;16855;4;3/03/2024
Trabajo y Prevención de Castilla y León;2;191;0;4525;-1;3/03/2024
Empresas JCYL - ICE;2;26;0;3235;2;3/03/2024
Salud+JCYL;2;1795;3;43520;9;4/03/2024
Instituto de la Juventud de Castilla y León;2;356;6;19259;-3;4/03/2024
Museos de Castilla y León;2;684;9;26737;3;4/03/2024
Patrimonio Natural;2;144;3;8601;2;4/03/2024
Castilla y León Digital;2;222;3;6588;3;4/03/2024
FUESCYL Fundación Universidades;2;122;12;3671;0;4/03/2024
Cultura de Castilla y León;2;3032;5;12857;2;4/03/2024
Empresas JCYL - ICE;2;30;4;3236;1;4/03/2024
Salud+JCYL;2;1798;3;43524;4;5/03/2024
Instituto de la Juventud de Castilla y León;2;361;5;19255;-4;5/03/2024
Museos de Castilla y León;2;694;10;26735;-2;5/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;313;5;3769;1;5/03/2024
Turismo Castilla y León es Vida;2;614;0;124062;9;5/03/2024
Patrimonio Natural;2;147;3;8600;-1;5/03/2024
FUESCYL Fundación Universidades;2;128;6;3671;0;5/03/2024
Educación;2;225;0;59740;8;5/03/2024
Cultura de Castilla y León;2;3032;0;12859;2;5/03/2024
Atención al ciudadano 012;2;1465;7;12478;2;5/03/2024
Energía EREN;2;1213;7;3353;-1;5/03/2024
Centro de Emergencias Castilla y León 112;2;440;0;81210;3;6/03/2024
Turismo Castilla y León es Vida;2;614;0;124067;5;6/03/2024
Tierra de Sabor;2;9854;2;29454;-2;6/03/2024
Marca Territorio;2;241;2;16237;2;6/03/2024
Patrimonio Natural;2;150;3;8599;-1;6/03/2024
Castilla y León Digital;2;222;0;6587;0;6/03/2024
Familia;2;18;0;3804;-2;6/03/2024
Educación;2;225;0;59755;15;6/03/2024
Energía EREN;2;1221;8;3352;-1;6/03/2024
Empresas JCYL - ICE;2;30;0;3240;2;6/03/2024
Salud+JCYL;2;1806;4;43541;4;7/03/2024
Instituto de la Juventud de Castilla y León;2;373;6;19250;-2;7/03/2024
Comunicación Junta de Castilla y León;2;2229;13;85301;17;7/03/2024
Patrimonio Natural;2;150;0;8599;0;7/03/2024
FUESCYL Fundación Universidades;2;145;7;3669;0;7/03/2024
ITACYL Instituto Técnico Agrario;2;521;4;2784;1;7/03/2024
Patrimonio Castilla y León;2;2142;0;2900;0;7/03/2024
Energía EREN;2;1233;12;3352;0;7/03/2024
Empresas JCYL - ICE;2;35;5;3240;0;7/03/2024
Salud+JCYL;2;1810;4;43546;5;8/03/2024
Centro de Emergencias Castilla y León 112;2;440;0;81231;10;8/03/2024
Castilla y León Digital;2;222;0;6591;4;8/03/2024
FUESCYL Fundación Universidades;2;156;11;3670;1;8/03/2024
Familia;2;18;0;3806;3;8/03/2024
Atención al ciudadano 012;2;1486;7;12478;0;8/03/2024
Salud+JCYL;2;1813;3;43547;1;9/03/2024
Comunicación Junta de Castilla y León;2;2251;9;85350;30;9/03/2024
Tierra de Sabor;2;9886;12;29445;-3;9/03/2024
FUESCYL Fundación Universidades;2;156;0;3669;-1;9/03/2024
Educación;2;225;0;59751;2;9/03/2024
Cultura de Castilla y León;2;3032;0;12879;5;9/03/2024
Atención al ciudadano 012;2;1486;0;12482;4;9/03/2024
Energía EREN;2;1241;0;3350;-1;9/03/2024
Museos de Castilla y León;2;741;9;26737;2;10/03/2024
Comunicación Junta de Castilla y León;2;2260;9;85376;26;10/03/2024
Tierra de Sabor;2;9887;1;29446;1;10/03/2024
ECLAP Escuela de Administración Pública;2;235;8;6067;2;10/03/2024
Marca Territorio;2;247;1;16241;5;10/03/2024
Trabajo y Prevención de Castilla y León;2;191;0;4529;1;10/03/2024
Museos de Castilla y León;2;750;9;26740;3;11/03/2024
Tierra de Sabor;2;9893;6;29448;2;11/03/2024
Familia;2;21;3;3808;-2;11/03/2024
Educación;2;231;6;59765;14;11/03/2024
Atención al ciudadano 012;2;1486;0;12483;1;11/03/2024
Instituto de la Juventud de Castilla y León;2;395;6;19248;-3;12/03/2024
Museos de Castilla y León;2;759;9;26743;3;12/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;338;5;3767;0;12/03/2024
Turismo Castilla y León es Vida;2;637;12;124086;0;12/03/2024
ITACYL Instituto Técnico Agrario;2;531;2;2788;0;12/03/2024
Deporte en Castilla y León;2;4031;2;1169;134;12/03/2024
Educación;2;234;3;59778;13;12/03/2024
Atención al ciudadano 012;2;1487;1;12487;4;12/03/2024
Instituto de la Juventud de Castilla y León;2;395;0;19248;0;13/03/2024
Museos de Castilla y León;2;759;0;26742;-1;13/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;342;4;3768;1;13/03/2024
Comunicación Junta de Castilla y León;2;2294;11;85441;16;13/03/2024
Turismo Castilla y León es Vida;2;651;14;124092;6;13/03/2024
Educación;2;239;5;59780;2;13/03/2024
Cultura de Castilla y León;2;3047;5;12900;10;13/03/2024
Trabajo y Prevención de Castilla y León;2;207;6;4533;3;13/03/2024
Instituto de la Juventud de Castilla y León;2;395;0;19249;1;14/03/2024
Gobierno Abierto de Castilla y León Transparencia;2;350;8;3767;-1;14/03/2024
Comunicación Junta de Castilla y León;2;2306;12;85462;21;14/03/2024
Tierra de Sabor;2;9916;9;29445;-3;14/03/2024
Castilla y León Digital;2;238;4;6602;2;14/03/2024
FUESCYL Fundación Universidades;2;201;13;3674;4;14/03/2024
ITACYL Instituto Técnico Agrario;2;534;2;2791;3;14/03/2024
Deporte en Castilla y León;2;4035;3;1151;-19;14/03/2024
Educación;2;247;8;59792;12;14/03/2024
Trabajo y Prevención de Castilla y León;2;213;6;4534;1;14/03/2024
Empresas JCYL - ICE;2;69;6;3248;2;14/03/2024
Castilla y León Digital;2;243;5;6601;-1;15/03/2024
FUESCYL Fundación Universidades;2;201;0;3673;-1;15/03/2024
ITACYL Instituto Técnico Agrario;2;536;2;2792;1;15/03/2024
Deporte en Castilla y León;2;4035;0;1152;1;15/03/2024
